,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
511,Kharan,PK,75.61400000000003,clear sky,28.5833,65.4167,Dil Aram Bangla
517,Kaveripattinam,IN,78.51200000000006,overcast clouds,12.4207,78.2166,PR mahal
526,Fare,PF,82.184,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
528,Omboue,GA,77.57600000000009,broken clouds,-1.5746,9.2618,Hotel Olako
535,Pitimbu,BR,81.19400000000007,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
538,Almenara,BR,78.566,light rain,-16.1836,-40.6944,Pousada Estância
539,Finschhafen,PG,84.308,scattered clouds,-6.6024,147.8681,Cossam Guest House
540,Auki,SB,84.59600000000006,overcast clouds,-8.7676,160.7034,Auki Motel
541,Camargo,MX,85.02800000000008,scattered clouds,27.6667,-105.1667,Hotel Santa Fe
543,Cap Malheureux,MU,78.47600000000008,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
549,Sao Luis Do Quitunde,BR,80.042,few clouds,-9.3183,-35.5611,Sao dos satos lins
551,Grand Baie,MU,78.458,few clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
552,Les Cayes,HT,78.40400000000005,clear sky,18.2,-73.75,Villa Orphee
553,Luanda,AO,77.50400000000005,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
557,Buraydah,SA,77.45,overcast clouds,26.326,43.975,Mövenpick Qassim
558,Natchitoches,US,79.64600000000004,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
561,Veraval,IN,79.50200000000008,clear sky,20.9,70.3667,Lords Inn Somnath
562,Tambun,ID,78.69200000000001,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
563,Tandur,IN,86.61200000000005,overcast clouds,17.2333,77.5833,SPOT ON 63149 Swagath Residency
564,Hambantota,LK,79.52000000000007,overcast clouds,6.1241,81.1185,Bungalow 63
565,Innisfail,AU,76.19000000000003,overcast clouds,-17.5333,146.0333,Moondarra Motel
566,Biltine,TD,85.55000000000001,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
571,Kandrian,PG,81.57200000000003,light rain,-6.2167,149.55,Kandrian Station
572,Ambon,ID,77.14400000000008,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
